Variable ID,Indicator,AEE domain,Original dataset name,Year / download date,Spatial resolution,Filtering rules,Service–facility categories,Weighting scheme,Missing-value proportion,Interpolation / aggregation method,Standardization direction,Used in GMM typology
walk_access_15m,Walking service accessibility (15 min),Accessibility,OpenStreetMap (OSM) pedestrian network and service POIs via OSMnx/Overpass,OSM snapshot used in analysis GPKG dated 2026-06-01 (method reused 2026-07-29),"Network edges + POI points; scores on 500 m hex centroids (n = 1,539; EPSG:25832)","network_type = walk, undirected; destinations snapped if ≤200 m from graph; study area = Odense municipality",food_retail; health; education_childcare; food_drink; civic_daily_services; recreation,"Category weights 0.25 / 0.20 / 0.15 / 0.15 / 0.15 / 0.10; distance decay s = exp(−d/700), β = 700 m; walking speed 1.34 m/s; 15 min cutoff (~1,206 m)","0% NaN; 655/1,539 hexes (42.6%) beyond 15 min for all categories (score = 0)",Multi-source Dijkstra network distance to nearest facility per category; hex-centroid evaluation; no spatial interpolation of scores,Positive (higher = better access); municipality min–max to 0–100,Yes
bike_access_15m,Cycling service accessibility (15 min),Accessibility,OpenStreetMap (OSM) bicycle network and service POIs via OSMnx/Overpass,Analysis GPKG 2026-06-01 (reused 2026-07-29),Bicycle network + POI points; 500 m hex (EPSG:25832),"network_type = bike, undirected; destinations snapped if ≤250 m; Odense municipality clip",Same taxonomy as walking: food_retail; health; education_childcare; food_drink; civic_daily_services; recreation,"Same category weights as walking; decay s = exp(−d/1,800), β = 1,800 m; speed 15 km/h; 15 min cutoff (3,750 m)","0% NaN; 52/1,539 hexes (3.4%) beyond 15 min (score = 0)",Network distance on bike graph; hex-centroid evaluation,Positive (higher = better access); min–max to 0–100,Yes
bike_access_5m,Cycling service accessibility (5 min),Accessibility,OpenStreetMap (OSM) bicycle network and service POIs via OSMnx/Overpass,Analysis GPKG 2026-06-01 (reused 2026-07-29),Bicycle network + POI points; 500 m hex (EPSG:25832),Same as bike_access_15m,Same as walking/cycling taxonomy,"Same weights/decay as bike_access_15m; 5 min cutoff (1,250 m)","0% NaN; 614/1,539 hexes (39.9%) beyond 5 min (score = 0)",Network distance on bike graph; hex-centroid evaluation,Positive; min–max to 0–100,No (supporting; 15 min used in GMM)
pt_stop_access_20m,Public-transport stop access (20 min walk),Accessibility,OpenStreetMap PT stops/stations/platforms/hubs + OSM walk network (OSMnx; not GTFS),Analysis GPKG 2026-06-01 (reused 2026-07-29),PT stop points + walk network; 500 m hex (EPSG:25832),Stops snapped if ≤200 m from walk graph; stop-access potential only (no timetable/frequency),bus_stop; platform/stop_position; rail/tram; transport_hub,"50% nearest all-stop score + 50% PT-category composite; decay β = 1,000 m; walk 1.34 m/s; 20 min cutoff (~1,608 m)","0% NaN; 630/1,539 hexes (40.9%) beyond 20 min (score = 0)",Walk-network distance to nearest stop(s); hex-centroid evaluation,Positive (higher = better stop access); min–max to 0–100,Yes
pt_stop_access_10m,Public-transport stop access (10 min walk),Accessibility,OpenStreetMap PT stops/stations + OSM walk network (OSMnx),Analysis GPKG 2026-06-01 (reused 2026-07-29),PT stop points + walk network; 500 m hex (EPSG:25832),Same as pt_stop_access_20m,bus_stop; platform/stop_position; rail/tram; transport_hub,Same composite rule; 10 min cutoff (~804 m),"0% NaN; 989/1,539 hexes (64.3%) beyond 10 min (score = 0)",Walk-network distance; hex-centroid evaluation,Positive; min–max to 0–100,No (supporting; 20 min used in GMM)
green_share_pct,Official green/natural land-cover share (%),Environment,GeoDanmark (GEODKV) natural/land-cover polygons (official_landcover_natural composite),Downloaded 2026-07-29,Polygons; aggregated to 500 m hex,Official natural/green GeoDanmark classes only; agriculture excluded from green composite; clipped to Odense,,Area share = green_area / hex_area × 100; quality composite weight 0.18 (pre-renormalisation),0% (0% cover treated as true zero),Polygon–hex area intersection (areal overlay),Positive (higher green share = higher environmental quality),Yes
builtup_pct,Built-up area share (%),Environment,GeoDanmark (GEODKV) built-up/settlement polygons (official_builtup composite),Downloaded 2026-07-29,Polygons; aggregated to 500 m hex,"Official built-up classes (buildings, urban core, high/low density settlement, commercial, etc.); Odense clip",,Area share (%); enters quality as inverse (weight 0.12) and burden as direct (0.18),0% (0% cover treated as true zero),Polygon–hex area intersection,Negative for environmental quality (higher built-up = lower quality); positive for urban intensity/morphology,Yes
road_buf_pct,Major-road corridor exposure (%),Environment,GeoDanmark (GEODKV) road centreline (vejmidte),Downloaded 2026-07-29,Lines buffered 50 m; share on 500 m hex,"Major roads only (motorway, main route, primary/secondary route classes); municipal clip",,Buffered area / hex area × 100; quality inverse weight 0.10; burden weight 0.15,0% (0% cover treated as true zero),50 m buffer → polygon–hex intersection,Negative for environmental quality (higher exposure = lower quality),Yes
env_quality,Environmental quality composite (0–100),Environment,Multi-source official stack: GeoDanmark natural/blue/built-up/roads; WDPA ∪ LBST §3 nature; Vejdirektoratet state-road noise (2022); ESA CLIM4cities summer LST; interim Open-Meteo/CAMS NO₂,Official layers processed 2026-07-29 (noise mapping year 2022; LST scenes Jun–Aug 2020–2023),Polygon overlays + ~50–100 m rasters; composite on 500 m hex,Only non-constant available components retained; weights renormalised; state-road noise footprint only; air = interim proxy,,Candidate weights (pre-renorm): green 0.18; blue 0.08; built-up⁻¹ 0.12; road⁻¹ 0.10; official natural 0.15; protected/§3 0.12; noise-share⁻¹ 0.08; heat⁻¹ 0.09; noise-mean⁻¹ 0.08,"Composite defined for all hexes; component gaps: heat 13/1,539 (0.8%); noise mean 1,150/1,539 (74.7% outside state-road footprint); air 0%",Area shares + zonal means of rasters; weighted sum of min–max component norms,Positive (higher = better environmental quality); municipality min–max to 0–100,Yes
env_burden,Environmental burden composite (0–100),Environment,Same official multi-source stack as env_quality,Processed 2026-07-29,Same as env_quality,Same components with burden polarity; dropped from GMM due to |r| ≈ 0.96 with env_quality,,Candidate weights: low green 0.12; built-up 0.18; road 0.15; low natural 0.10; low eco 0.10; noise share 0.10; heat 0.12; noise mean 0.08; air 0.05,Same component gaps as env_quality,Same as env_quality,Negative for liveability (higher = greater environmental pressure); min–max to 0–100,No (excluded; collinear with env_quality)
blue_pct,Water (blue) cover share (%),Environment (component),GeoDanmark (GEODKV) water polygons (official_blue composite),Downloaded 2026-07-29,Polygons; 500 m hex,Official water features; Odense clip,,Area share (%); quality weight 0.08,0%,Polygon–hex area intersection,Positive for environmental quality,Indirect (via env_quality)
