Domain,Final indicator,Definition,Exact dataset and layer,Provider,Year/download date,Native geometry/resolution,Hexagon-level construction
Accessibility,"Walking service accessibility, 15 min",Decayed walking-network access to weighted daily-service categories,OSM Denmark via OSMnx (walk network + POI tags; Appendix A1),OpenStreetMap; OSMnx/Overpass,OSM at retrieval; GPKG 2026-06-01 (reused 2026-07-29),Line network; point/polygon destinations,Dijkstra multi-source; exp(-d/700); 1.34 m/s; 15 min cutoff; min-max 0-100
Accessibility,"Cycling service accessibility, 5 min",Decayed cycling-network access to selected services,OSM Denmark via OSMnx (bike network + same destinations),OpenStreetMap; OSMnx/Overpass,GPKG 2026-06-01 (reused 2026-07-29),Bicycle network; destinations,Nearest distance; exp(-d/1800); 15 km/h; 5 min cutoff
Accessibility,"Cycling service accessibility, 15 min",Same with 15-min cutoff,Same,Same,Same,Same,Same with 15 min cutoff
Accessibility,"PT stop-access potential, 10/20 min",Walking access to PT stops/stations (not timetable journeys),OSM PT stop/station/platform/hub features via OSMnx,OpenStreetMap; OSMnx/Overpass,GPKG 2026-06-01 (reused 2026-07-29),Point stops; walk network,Walk access; 1.34 m/s; beta=1000 m; 10 and 20 min cutoffs
Environment,Green-cover share,Share of hex in official natural/green land cover,GeoDanmark composite official_landcover_natural.gpkg (from geodanmark_odense_official.gpkg / GEODKV),GeoDanmark via Datafordeler; Dataforsyningen/Klimadatastyrelsen portal,Downloaded 2026-07-29,Polygon,Intersected area / hex area
Environment,Blue-cover share,Share of hex covered by water,GeoDanmark composite official_blue.gpkg,GeoDanmark via Datafordeler; Dataforsyningen/Klimadatastyrelsen portal,Downloaded 2026-07-29,Polygon,Intersected area / hex area
Environment,Protected/open-land share,Share of hex in protected/§3 nature,protected_nature.gpkg = WDPA DNK Jul 2026 ∪ LBST paragraf3_protected_nature.gpkg,UNEP-WCMC Protected Planet; Landbrugsstyrelsen (LBST),WDPA Jul 2026; LBST 2026-07-29,Polygon,Intersected area / hex area
Environment,Built-up intensity,Built-up share of hex,GeoDanmark composite official_builtup.gpkg,GeoDanmark via Datafordeler; Dataforsyningen/Klimadatastyrelsen portal,Downloaded 2026-07-29,Polygon,Intersected area / hex area
Environment,Major-road exposure,Share of hex in 50 m buffer of major roads,"GeoDanmark official_roads.gpkg (vejmidte), major trafikart/vejkategori filter",GeoDanmark via Datafordeler,Downloaded 2026-07-29,Line,50 m buffer area / hex area
Environment (supporting),Summer land-surface temperature,Mean summer LST for env composites,heat_raster.tif; ESA CLIM4cities S3 SLSTR (Zenodo 10.5281/zenodo.20863040),ESA / Zenodo CLIM4cities,Scenes Jun-Aug 2020-2023; processed 2026-07-29,Raster ~100 m,Zonal mean per hex
Environment (supporting),Road-traffic noise (Lden),State-road noise exposure,noise_vector.gpkg / noise_raster.tif; Vejdirektoratet Stoejkortlaegning statsveje 2022,Vejdirektoratet,2022 mapping; downloaded 2026-07-29,Polygon bands + 50 m raster,Area share and/or zonal mean dB; state roads only
"Environment (supporting, interim)",Air pollution proxy (NO2),Interim CAMS-based NO2 (pending DCE),air_quality_raster.tif; Open-Meteo Air Quality API,Open-Meteo / CAMS (interim),Pulled 2026-07-29,Raster,Zonal mean; replace with DCE Luften paa din vej / AirGIS
Exposure,Population density,Estimated persons per km2 from total population (locals+migrants combined); not migration-origin subsets,dst_kvadratnet_population.gpkg from 1 km density classes + KOMM_TOT_21 (205987),Density classes: project GIS (DST-style); total: municipal KOMM_TOT_21,Density map ~2025; total 2021; built 2026-07-29,1 km class grid + municipality control,"Class midpoint x area, scale to 205987; areal interpolate to 500 m hex"
