kvadrat_id,main_district,pop_density_class_per_km2,dens_mid_per_km2,pop_total,nonwestern,turkey_origin_pop,age_0_14,age_65plus
1km_6136_593,Odense East,400 >,500.0,1606.657978440703,26.0,3.0,,
1km_6142_583,Odense West,400 >,500.0,1606.657978440703,18.0,2.0,,
1km_6133_586,Odense South,400 >,500.0,1606.657978440703,6.0,0.0,,
1km_6134_586,Odense South,400 >,500.0,1606.657978440703,12.0,0.0,,
1km_6135_586,Odense South,400 >,500.0,1606.657978440703,44.0,1.0,,
1km_6136_586,Odense South,400 >,500.0,1606.657978440703,61.0,1.0,,
1km_6137_586,Odense South,400 >,500.0,1606.657978440703,16.0,2.0,,
1km_6133_583,Odense South,400 >,500.0,1606.657978440703,20.0,1.0,,
1km_6132_583,Odense South,400 >,500.0,1606.657978440703,5.0,1.0,,
1km_6140_580,Odense West,400 >,500.0,1606.657978440703,11.0,3.0,,
1km_6141_580,Odense West,400 >,500.0,1606.657978440703,17.0,0.0,,
1km_6142_580,Odense West,400 >,500.0,1606.657978440703,36.0,1.0,,
1km_6129_583,Odense South,400 >,500.0,1606.657978440703,3.0,0.0,,
1km_6142_590,Odense East,400 >,500.0,1606.657978440703,294.0,33.0,,
1km_6141_590,Odense East,400 >,500.0,1606.657978440703,275.0,14.0,,
1km_6140_590,Odense East,400 >,500.0,1606.657978440703,611.0,124.0,,
1km_6139_590,Odense East,400 >,500.0,1606.657978440703,633.0,81.0,,
1km_6140_586,Odense West,400 >,500.0,1606.657978440703,49.0,7.0,,
1km_6141_586,Odense West,400 >,500.0,1606.657978440703,42.0,2.0,,
1km_6144_582,Odense West,400 >,500.0,1606.657978440703,13.0,1.0,,
1km_6141_583,Odense West,400 >,500.0,1606.657978440703,22.0,4.0,,
1km_6144_583,Odense West,400 >,500.0,1606.657978440703,6.0,0.0,,
1km_6133_590,Odense South,400 >,500.0,1606.657978440703,33.0,2.0,,
1km_6145_587,Odense West,400 >,500.0,1606.657978440703,10.0,0.0,,
1km_6142_588,Odense East,400 >,500.0,1606.657978440703,23.0,1.0,,
1km_6141_588,Odense East,400 >,500.0,1606.657978440703,119.0,9.0,,
1km_6134_587,Odense South,400 >,500.0,1606.657978440703,30.0,0.0,,
1km_6141_582,Odense West,400 >,500.0,1606.657978440703,12.0,0.0,,
1km_6135_587,Odense South,400 >,500.0,1606.657978440703,104.0,3.0,,
