id,row_index,col_index,pop_density_class_per_km2,Category,main_district,intersect_area_m2,cell_easting,cell_northing,kvadrat_id
284764.0,363.0,474.0,50-99,2-2,Odense West,9140,574000.0,6136000.0,1km_6136_574
284765.0,364.0,474.0,50-99,2-2,Odense West,31170,574000.0,6135000.0,1km_6135_574
285361.0,360.0,475.0,50-99,2-2,Odense West,74523,575000.0,6139000.0,1km_6139_575
285362.0,361.0,475.0,400 >,2-2,Odense West,162759,575000.0,6137999.999999999,1km_6137_575
285363.0,362.0,475.0,50-99,2-2,Odense West,441471,575000.0,6137000.0,1km_6137_575
285364.0,363.0,475.0,20-49,2-2,Odense West,938745,575000.0,6136000.0,1km_6136_575
285365.0,364.0,475.0,50-99,2-2,Odense West,82045,575000.0,6135000.0,1km_6135_575
285959.0,358.0,476.0,1-19,2-2,Odense West,162914,576000.0,6141000.0,1km_6141_576
285960.0,359.0,476.0,1-19,2-2,Odense West,760787,576000.0,6140000.0,1km_6140_576
285961.0,360.0,476.0,1-19,2-2,Odense West,971706,576000.0,6139000.0,1km_6139_576
285962.0,361.0,476.0,50-99,2-2,Odense West,1000657,576000.0,6137999.999999999,1km_6137_576
285963.0,362.0,476.0,50-99,2-2,Odense West,1000657,576000.0,6137000.0,1km_6137_576
285964.0,363.0,476.0,1-19,2-2,Odense West,862957,576000.0,6136000.0,1km_6136_576
285965.0,364.0,476.0,50-99,2-2,Odense West,7085,576000.0,6135000.0,1km_6135_576
286558.0,357.0,477.0,50-99,2-2,Odense West,472564,577000.0,6142000.000000001,1km_6142_577
286559.0,358.0,477.0,20-49,2-2,Odense West,872662,577000.0,6141000.0,1km_6141_577
286560.0,359.0,477.0,20-49,2-2,Odense West,1000653,577000.0,6140000.0,1km_6140_577
286561.0,360.0,477.0,50-99,2-2,Odense West,1000653,577000.0,6139000.0,1km_6139_577
286562.0,361.0,477.0,50-99,2-2,Odense West,1000653,577000.0,6137999.999999999,1km_6137_577
286563.0,362.0,477.0,50-99,2-2,Odense West,1000653,577000.0,6137000.0,1km_6137_577
286564.0,363.0,477.0,1-19,2-2,Odense West,1000484,577000.0,6136000.0,1km_6136_577
286565.0,364.0,477.0,50-99,2-2,Odense West,692784,577000.0,6135000.0,1km_6135_577
286566.0,365.0,477.0,50-99,2-2,Odense West,28416,577000.0,6134000.000000001,1km_6134_577
287156.0,355.0,478.0,50-99,2-2,Odense West,242508,578000.0,6144000.0,1km_6144_578
287157.0,356.0,478.0,100-149,2-2,Odense West,231349,578000.0,6143000.0,1km_6143_578
287158.0,357.0,478.0,50-99,2-2,Odense West,990099,578000.0,6142000.000000001,1km_6142_578
287159.0,358.0,478.0,50-99,2-2,Odense West,1000649,578000.0,6141000.0,1km_6141_578
287160.0,359.0,478.0,50-99,2-2,Odense West,1000649,578000.0,6140000.0,1km_6140_578
287161.0,360.0,478.0,50-99,2-2,Odense West,1000649,578000.0,6139000.0,1km_6139_578
287162.0,361.0,478.0,50-99,2-2,Odense West,1000649,578000.0,6137999.999999999,1km_6137_578
287163.0,362.0,478.0,20-49,2-2,Odense West,1000649,578000.0,6137000.0,1km_6137_578
287164.0,363.0,478.0,20-49,2-2,Odense West,1000649,578000.0,6136000.0,1km_6136_578
287165.0,364.0,478.0,20-49,2-2,Odense West,752348,578000.0,6135000.0,1km_6135_578
287166.0,365.0,478.0,50-99,2-2,Odense West,81964,578000.0,6134000.000000001,1km_6134_578
287754.0,353.0,479.0,20-49,2-2,Odense West,68567,579000.0,6145999.999999999,1km_6145_579
287755.0,354.0,479.0,1-19,2-2,Odense West,460377,579000.0,6145000.0,1km_6145_579
287756.0,355.0,479.0,1-19,2-2,Odense West,981935,579000.0,6144000.0,1km_6144_579
287757.0,356.0,479.0,150-399,2-2,Odense West,1000511,579000.0,6143000.0,1km_6143_579
287758.0,357.0,479.0,400 >,2-2,Odense West,1000645,579000.0,6142000.000000001,1km_6142_579
287759.0,358.0,479.0,50-99,2-2,Odense West,1000645,579000.0,6141000.0,1km_6141_579
287760.0,359.0,479.0,150-399,2-2,Odense West,1000645,579000.0,6140000.0,1km_6140_579
287761.0,360.0,479.0,150-399,2-2,Odense West,1000645,579000.0,6139000.0,1km_6139_579
287762.0,361.0,479.0,100-149,2-2,Odense West,1000645,579000.0,6137999.999999999,1km_6137_579
287763.0,362.0,479.0,20-49,2-2,Odense West,1000645,579000.0,6137000.0,1km_6137_579
287764.0,363.0,479.0,50-99,2-2,Odense West,1000645,579000.0,6136000.0,1km_6136_579
287765.0,364.0,479.0,20-49,2-2,Odense South,46315,579000.0,6135000.0,1km_6135_579
287765.0,364.0,479.0,20-49,2-2,Odense West,953366,579000.0,6135000.0,1km_6135_579
287766.0,365.0,479.0,50-99,2-2,Odense South,478841,579000.0,6134000.000000001,1km_6134_579
287766.0,365.0,479.0,50-99,2-2,Odense West,38443,579000.0,6134000.000000001,1km_6134_579
287767.0,366.0,479.0,50-99,2-2,Odense South,179698,579000.0,6133000.0,1km_6133_579
287768.0,367.0,479.0,100-149,2-2,Odense South,52006,579000.0,6132000.0,1km_6132_579
287769.0,368.0,479.0,400 >,2-2,Odense South,62218,579000.0,6131000.0,1km_6131_579
288354.0,353.0,480.0,50-99,2-2,Odense West,81720,580000.0,6145999.999999999,1km_6145_580
288355.0,354.0,480.0,50-99,2-2,Odense West,999740,580000.0,6145000.0,1km_6145_580
288356.0,355.0,480.0,20-49,2-2,Odense West,1000641,580000.0,6144000.0,1km_6144_580
288357.0,356.0,480.0,50-99,2-2,Odense West,1000641,580000.0,6143000.0,1km_6143_580
288358.0,357.0,480.0,400 >,2-2,Odense West,1000641,580000.0,6142000.000000001,1km_6142_580
288359.0,358.0,480.0,400 >,2-2,Odense West,1000641,580000.0,6141000.0,1km_6141_580
288360.0,359.0,480.0,400 >,2-2,Odense West,1000641,580000.0,6140000.0,1km_6140_580
