age,men,women,total
0,1127.0,1175.0,2302.0
1,1075.0,1072.0,2147.0
2,1126.0,1029.0,2155.0
3,1165.0,983.0,2148.0
4,1054.0,943.0,1997.0
5,1091.0,1015.0,2106.0
6,975.0,1018.0,1993.0
7,1054.0,928.0,1982.0
8,988.0,936.0,1924.0
9,1016.0,917.0,1933.0
10,1011.0,972.0,1983.0
11,1093.0,1015.0,2108.0
12,1046.0,1042.0,2088.0
13,1134.0,1071.0,2205.0
14,1163.0,1053.0,2216.0
15,1054.0,1089.0,2143.0
16,1047.0,1031.0,2078.0
17,1084.0,1089.0,2173.0
18,1082.0,1107.0,2189.0
19,1227.0,1247.0,2474.0
20,1475.0,1669.0,3144.0
21,1943.0,2289.0,4232.0
22,2357.0,2454.0,4811.0
23,2449.0,2474.0,4923.0
24,2540.0,2515.0,5055.0
25,2469.0,2287.0,4756.0
26,2415.0,2211.0,4626.0
27,2104.0,2003.0,4107.0
28,1935.0,1791.0,3726.0
29,1887.0,1682.0,3569.0
30,1682.0,1541.0,3223.0
31,1620.0,1476.0,3096.0
32,1497.0,1346.0,2843.0
33,1420.0,1267.0,2687.0
34,1322.0,1140.0,2462.0
35,1231.0,1156.0,2387.0
36,1166.0,1096.0,2262.0
37,1137.0,1111.0,2248.0
38,1056.0,1023.0,2079.0
39,1111.0,947.0,2058.0
40,1045.0,1026.0,2071.0
41,1193.0,1088.0,2281.0
42,1094.0,1053.0,2147.0
43,1135.0,1221.0,2356.0
44,1060.0,1107.0,2167.0
45,1191.0,1191.0,2382.0
46,1252.0,1221.0,2473.0
47,1242.0,1210.0,2452.0
48,1225.0,1301.0,2526.0
49,1275.0,1317.0,2592.0
50,1295.0,1320.0,2615.0
51,1180.0,1208.0,2388.0
52,1141.0,1149.0,2290.0
53,1195.0,1210.0,2405.0
54,1251.0,1256.0,2507.0
55,1312.0,1348.0,2660.0
56,1159.0,1352.0,2511.0
57,1301.0,1266.0,2567.0
58,1273.0,1186.0,2459.0
59,1206.0,1177.0,2383.0
60,1165.0,1118.0,2283.0
61,1060.0,1064.0,2124.0
62,1036.0,1106.0,2142.0
63,1010.0,1085.0,2095.0
64,1000.0,1086.0,2086.0
65,1026.0,1079.0,2105.0
66,1006.0,1101.0,2107.0
67,890.0,1039.0,1929.0
68,901.0,995.0,1896.0
69,871.0,917.0,1788.0
70,886.0,912.0,1798.0
71,852.0,987.0,1839.0
72,806.0,962.0,1768.0
73,819.0,1019.0,1838.0
74,838.0,1058.0,1896.0
75,885.0,1006.0,1891.0
76,824.0,1007.0,1831.0
77,751.0,907.0,1658.0
78,641.0,829.0,1470.0
79,600.0,731.0,1331.0
80,538.0,652.0,1190.0
81,432.0,588.0,1020.0
82,406.0,587.0,993.0
83,405.0,554.0,959.0
84,350.0,523.0,873.0
85,291.0,401.0,692.0
86,247.0,383.0,630.0
87,186.0,312.0,498.0
88,184.0,297.0,481.0
89,128.0,277.0,405.0
90,126.0,213.0,339.0
91,80.0,194.0,274.0
92,59.0,156.0,215.0
93,47.0,132.0,179.0
94,31.0,94.0,125.0
95,25.0,86.0,111.0
96,11.0,71.0,82.0
97,4.0,58.0,62.0
98,5.0,31.0,36.0
99,3.0,31.0,34.0
100,3.0,17.0,20.0
101,3.0,10.0,13.0
102,1.0,6.0,7.0
103,0.0,2.0,2.0
104,0.0,0.0,0.0
105,1.0,0.0,1.0
106,0.0,1.0,1.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
