OMRP,men,women,pop_total,mean_age,age_0_14,age_15_24,age_25_44,age_45_64,age_65_plus,pct_0_14,pct_65_plus,pct_women
10101,1317,1298,2615,42.98087954110898,462,276,551,732,594,17.667304015296367,22.7151051625239,49.636711281070745
10102,101,82,183,40.34426229508197,38,19,36,62,28,20.76502732240437,15.300546448087431,44.80874316939891
10103,163,173,336,44.723214285714285,45,41,60,111,79,13.392857142857142,23.511904761904763,51.48809523809524
10104,1,1,2,76.0,0,0,0,0,2,0.0,100.0,50.0
10105,18,18,36,38.361111111111114,7,7,5,11,6,19.444444444444443,16.666666666666668,50.0
10106,42,37,79,31.89873417721519,22,12,20,21,4,27.848101265822784,5.063291139240507,46.835443037974684
10301,116,113,229,47.8471615720524,27,22,40,62,78,11.790393013100436,34.06113537117904,49.34497816593886
10303,12,12,24,76.875,0,0,1,3,20,0.0,83.33333333333333,50.0
10304,22,16,38,23.842105263157894,0,28,10,0,0,0.0,0.0,42.10526315789474
10305,8,15,23,23.434782608695652,0,15,8,0,0,0.0,0.0,65.21739130434783
10306,33,38,71,23.014084507042252,0,54,17,0,0,0.0,0.0,53.521126760563384
10307,636,621,1257,38.07478122513922,267,143,342,313,192,21.241050119331742,15.274463007159904,49.40334128878282
10308,334,340,674,41.97032640949555,78,67,222,185,122,11.572700296735905,18.100890207715132,50.445103857566764
10309,647,680,1327,42.56895252449134,270,101,314,309,333,20.346646571213263,25.094197437829692,51.24340617935192
10310,427,482,909,46.88338833883388,95,92,200,252,270,10.45104510451045,29.702970297029704,53.02530253025302
10311,62,57,119,43.63025210084034,13,6,44,33,23,10.92436974789916,19.327731092436974,47.89915966386555
10701,657,646,1303,41.59094397544129,265,124,291,350,273,20.337682271680738,20.951650038372986,49.57789716039908
10702,165,194,359,27.88857938718663,130,34,119,64,12,36.211699164345404,3.3426183844011144,54.03899721448468
10703,5,1,6,33.833333333333336,1,1,3,1,0,16.666666666666668,0.0,16.666666666666668
10704,5,12,17,86.88235294117646,0,0,0,0,17,0.0,100.0,70.58823529411765
10705,15,21,36,67.61111111111111,0,0,1,13,22,0.0,61.111111111111114,58.333333333333336
10706,29,38,67,23.895522388059703,0,46,21,0,0,0.0,0.0,56.71641791044776
10707,827,791,1618,41.79357231149567,212,261,396,402,347,13.102595797280593,21.446229913473424,48.88751545117429
10708,42,35,77,24.25974025974026,0,50,26,1,0,0.0,0.0,45.45454545454545
10709,367,381,748,42.44117647058823,106,90,214,167,171,14.171122994652407,22.86096256684492,50.93582887700535
10710,17,23,40,22.825,0,34,6,0,0,0.0,0.0,57.5
10802,10,10,20,39.9,2,2,10,3,3,10.0,15.0,50.0
10803,356,387,743,38.69313593539704,139,129,126,243,106,18.70794078061911,14.266487213997308,52.08613728129206
10804,282,297,579,37.66493955094992,116,91,132,169,71,20.03454231433506,12.26252158894646,51.295336787564764
10805,562,538,1100,39.14272727272727,231,128,228,344,169,21.0,15.363636363636363,48.90909090909091
10806,502,517,1019,38.89990186457311,212,145,202,293,167,20.80471050049068,16.388616290480865,50.7360157016683
