AEE domain,Dataset or source layer,Provider,Access date,Format and resolution,Variables used,Spatial processing,Derived indicator,Final analytical role
Spatial frame,Odense Municipality administrative boundary,Klimadatastyrelsen / DAGI municipal boundary; study extent for Odense Municipality,2026-06-01 (analysis frame); retained through v1 re-analysis,Polygon vector; municipal extent ≈ 304.37 km²; CRS EPSG:25832,Municipality geometry; study-area identifier,Projected to EPSG:25832; used as clip mask for all input layers,Study-area extent,Defines the functional urban–rural continuum analysis boundary and clipping extent
Spatial frame,500 m hexagonal analysis tessellation,Constructed for this study (common AEE analysis unit),"2026-06-01 (initial grid); n = 1,539 cells retained in v1/v2",Regular hexagonal polygons; spacing 500 m; CRS EPSG:25832; key = hex_id,hex_id; cell area (km²),Generated over the municipal extent; all indicators aggregated or joined by hex_id,"Hexagon analysis unit (n = 1,539)","Common spatial support for multimodal accessibility, environmental, and equity indicators"
Accessibility,"OpenStreetMap pedestrian network (OSMnx, network_type=walk)",OpenStreetMap contributors; retrieved via OSMnx / Overpass API,OSM snapshot at retrieval; accessibility GPKG dated 2026-06-01 (re-used 2026-07-29),Line network (NetworkX MultiDiGraph); Odense clip; CRS EPSG:25832,Walkable edges and nodes; impedance = network length (m),Graph construction; multi-source Dijkstra from service destinations to hex centroids; snap thresholds ≈ 200–250 m,"Walking service accessibility, 15 min (walk_access_15m)",Primary active-mobility accessibility indicator in the AEE feature space and GeoAI typology
Accessibility,OpenStreetMap service amenities and destinations (POI / polygon tags),OpenStreetMap contributors; retrieved via OSMnx / Overpass API,OSM snapshot at retrieval; analysis GPKG 2026-06-01,Point and polygon features; clipped to Odense,Daily-service taxonomy: food retail; health; education/childcare; food and drink; civic/daily services; recreation,"Category tagging; destination set for network accessibility; exponential distance decay a = exp(−d/700); walking speed 1.34 m/s; 15 min cutoff (≈ 1,206 m); category-weighted composite min–max scaled to 0–100","Walking service accessibility, 15 min (walk_access_15m) and quintile classes",Defines destination supply for walking accessibility; enters GMM clustering via walk_access_15m
Accessibility,"OpenStreetMap bicycle network (OSMnx, network_type=bike)",OpenStreetMap contributors; retrieved via OSMnx / Overpass API,OSM snapshot at retrieval; analysis GPKG 2026-06-01,Line bicycle-compatible network; Odense clip,Bikeable edges and nodes; impedance = network length (m),"Dijkstra routing; cycling speed 15 km/h; decay a = exp(−d/1800); cutoffs 5 min (≈ 1,250 m) and 15 min (≈ 3,750 m); min–max scaled to 0–100","Cycling service accessibility, 5 and 15 min (bike_access_5m, bike_access_15m)",Cycling-domain accessibility; bike_access_15m prioritised in clustering feature set
Accessibility,OpenStreetMap public-transport stops and stations,OpenStreetMap contributors; retrieved via OSMnx / Overpass API,OSM snapshot at retrieval; analysis GPKG 2026-06-01,"Point features (bus stop, platform, rail/tram station, transport hub)",Stop/station locations and transport-mode tags,"First-/last-mile walking-network access on the pedestrian graph; speed 1.34 m/s; decay β = 1,000 m; cutoffs 10 min (≈ 804 m) and 20 min (≈ 1,608 m); composite = 0.5·all-stops + 0.5·category-weighted; no GTFS timetable routing","PT stop-access potential, 10 and 20 min (pt_stop_access_10m, pt_stop_access_20m)",Public-transport accessibility potential; pt_stop_access_20m prioritised in clustering feature set
Environment,GeoDanmark natural / green land-cover classes (official_landcover_natural),Klimadatastyrelsen & municipalities (GeoDanmark partnership); accessed via Datafordeler (GEODKV WFS) and Dataforsyningen,"Downloaded 2026-07-29 (product currency per GeoDanmark registration, ~2023)",Polygon vector; dissolved multipolygon for Odense; CRS EPSG:25832,"Natural/green classes (e.g. skov, vådområde, kratbevoksning and related)",Clip to municipality; intersect with hexagons; area share = intersected area / hex area × 100,Green-cover share (green_share_pct),Environmental benefit proxy; enters quality composites and clustering feature set
Environment,GeoDanmark water / blue features (official_blue),Klimadatastyrelsen & municipalities (GeoDanmark); Datafordeler (GEODKV) / Dataforsyningen,Downloaded 2026-07-29,Polygon vector; CRS EPSG:25832,"Water bodies (e.g. sø, bassin and related water features)",Clip; polygon–hex intersection; area share × 100,Blue-cover share (blue_pct),Environmental amenity / blue-space component of environmental composites
Environment,GeoDanmark built-up land-cover and settlement fabric (official_builtup),Klimadatastyrelsen & municipalities (GeoDanmark); Datafordeler (GEODKV) / Dataforsyningen,Downloaded 2026-07-29,Polygon vector; CRS EPSG:25832,"Built-up classes (e.g. bygning, bykerne, høj-/lavbebyggelse, erhverv)",Clip; polygon–hex intersection; area share × 100,Built-up intensity (builtup_pct),Urban morphology / environmental pressure proxy; clustering and URC score input
Environment,GeoDanmark road centre-lines (vejmidte / official_roads),Klimadatastyrelsen & municipalities (GeoDanmark); Datafordeler (GEODKV) / Dataforsyningen,Downloaded 2026-07-29,Line vector; CRS EPSG:25832,Road geometry; trafikart / vejkategori attributes for major-road selection,"Filter to major roads (motorway, hovedrute, etc.); 50 m buffer; buffer ∩ hex / hex area × 100",Major-road exposure (road_buf_pct),Transport-related environmental burden / exposure indicator; clustering input
