feature,median_used_for_imputation,mean_after_imputation,std_after_imputation
walk_access_15m,4.22,14.607102014294998,20.75843133693417
bike_access_5m,8.99,23.162690058479534,28.090074135369097
bike_access_15m,34.41,37.73535412605588,24.39268083538179
pt_stop_access_10m,0.0,21.476172839506173,29.99542196059749
pt_stop_access_20m,23.79,27.91625730994152,27.88701863268704
green_share_pct,6.189958363572744,14.532533915011715,19.687432173640033
env_quality,39.22699105440397,39.647680446934416,15.075914876152432
env_burden,46.737309812495376,49.87162527339141,16.562182294238198
builtup_pct,11.180525663300987,26.56019692893522,31.669144720711433
road_buf_pct,0.0,1.288514298543533,6.108851060222806
air_pollution_mean,3.7461179845473347,3.6609795027367076,0.39456719716550476
heat_mean,29.344657802751783,29.921939706867253,1.9589775502968907
noise_mean,56.63636363636363,57.232223165531884,2.445898907946798
pop_density_km2,41.78631817568351,658.5918171547257,2040.2906431950516
age_vulnerability,0.06890386605353702,0.1518819847732199,0.20094654428379732
