,walk_access_15m,bike_access_5m,bike_access_15m,pt_stop_access_10m,pt_stop_access_20m,green_share,env_quality,env_burden,builtup_share,road_burden,population_density,age_vulnerability,demographic_vulnerability
walk_access_15m,1.0,0.929,0.856,0.698,0.71,-0.12,-0.439,0.555,0.767,-0.026,0.506,0.452,0.573
bike_access_5m,0.929,1.0,0.926,0.674,0.702,-0.097,-0.44,0.57,0.779,-0.012,0.492,0.472,0.583
bike_access_15m,0.856,0.926,1.0,0.666,0.742,-0.118,-0.461,0.588,0.759,-0.002,0.451,0.473,0.567
pt_stop_access_10m,0.698,0.674,0.666,1.0,0.919,-0.116,-0.375,0.461,0.605,-0.036,0.369,0.357,0.44
pt_stop_access_20m,0.71,0.702,0.742,0.919,1.0,-0.113,-0.381,0.47,0.622,-0.029,0.364,0.391,0.466
green_share,-0.12,-0.097,-0.118,-0.116,-0.113,1.0,0.764,-0.594,-0.241,-0.022,-0.105,-0.079,-0.107
env_quality,-0.439,-0.44,-0.461,-0.375,-0.381,0.764,1.0,-0.961,-0.621,-0.3,-0.284,-0.263,-0.329
env_burden,0.555,0.57,0.588,0.461,0.47,-0.594,-0.961,1.0,0.741,0.336,0.346,0.325,0.405
builtup_share,0.767,0.779,0.759,0.605,0.622,-0.241,-0.621,0.741,1.0,-0.059,0.488,0.475,0.584
road_burden,-0.026,-0.012,-0.002,-0.036,-0.029,-0.022,-0.3,0.336,-0.059,1.0,-0.047,-0.038,-0.05
population_density,0.506,0.492,0.451,0.369,0.364,-0.105,-0.284,0.346,0.488,-0.047,1.0,0.274,0.635
age_vulnerability,0.452,0.472,0.473,0.357,0.391,-0.079,-0.263,0.325,0.475,-0.038,0.274,1.0,0.917
demographic_vulnerability,0.573,0.583,0.567,0.44,0.466,-0.107,-0.329,0.405,0.584,-0.05,0.635,0.917,1.0
