AEE dimension,Indicator ID,Indicator name,Unit,Direction,Method summary,Source GeoPackage,Layer,Value field,Class field,Number of cells,Valid cells,Missing cells,Mean,Area-weighted mean,Population-weighted mean,Median,Std. dev.,Min,Q25,Q75,Max
Accessibility,walk_access_15m,Walking accessibility to services,0–100 index,Higher = better accessibility,"OSM pedestrian network, selected services, 15-min threshold, exponential decay",odense_osm_walking_accessibility_outputs_1/odense_walking_accessibility_services_500m.gpkg,walking_accessibility_500m_hexagons,walk_access_score,walk_access_class,1539,1539,0,14.6071,15.8171,,4.22,20.7584,0.0,0.0,22.745,100.0
Accessibility,bike_access_5m,"Cycling accessibility to services, 5 min",0–100 index,Higher = better accessibility,"OSM bicycle network, selected services, 5-min threshold, exponential decay",odense_osm_walking_accessibility_outputs_1/odense_osm_cycling_accessibility_outputs/odense_cycling_accessibility_services_500m.gpkg,cycling_accessibility_500m_hexagons,bike_access_score_5m,bike_access_class_5m,1539,1539,0,23.1627,25.098,,8.99,28.0901,0.0,0.0,42.91,100.0
Accessibility,bike_access_15m,"Cycling accessibility to services, 15 min",0–100 index,Higher = better accessibility,"OSM bicycle network, selected services, 15-min threshold, exponential decay",odense_osm_walking_accessibility_outputs_1/odense_osm_cycling_accessibility_outputs/odense_cycling_accessibility_services_500m.gpkg,cycling_accessibility_500m_hexagons,bike_access_score_15m,bike_access_class_15m,1539,1539,0,37.7354,40.0985,,34.41,24.3927,0.0,16.945,56.03,100.0
Accessibility,pt_stop_access_10m,"Public transport stop accessibility, 10 min",0–100 index,Higher = better stop accessibility,"OSM walking network to OSM public transport stops/stations, 10-min threshold",odense_osm_walking_accessibility_outputs_1/odense_osm_public_transport_accessibility_outputs/odense_public_transport_stop_accessibility_500m.gpkg,pt_stop_accessibility_500m_hexagons,pt_access_score_10m,pt_access_class_10m,1539,1539,0,21.4762,23.115,,0.0,29.9954,0.0,0.0,50.425,100.0
Accessibility,pt_stop_access_20m,"Public transport stop accessibility, 20 min",0–100 index,Higher = better stop accessibility,"OSM walking network to OSM public transport stops/stations, 20-min threshold",odense_osm_walking_accessibility_outputs_1/odense_osm_public_transport_accessibility_outputs/odense_public_transport_stop_accessibility_500m.gpkg,pt_stop_accessibility_500m_hexagons,pt_access_score_20m,pt_access_class_20m,1539,1539,0,27.9163,29.9063,,23.79,27.887,0.0,0.0,50.43,100.0
Environment,green_share,Green-area share,%,Higher = more green area,OSM green/open/natural polygon share by 500 m cell,odense_osm_walking_accessibility_outputs_1/odense_osm_green_area_share_outputs/odense_green_area_share_500m.gpkg,green_area_share_500m_hexagons,green_share_pct,green_class,1539,1539,0,14.5325,13.8373,,6.19,19.6874,0.0,0.506,20.41,100.0
Environment,env_quality,Environmental quality index,0–100 index,Higher = better environmental condition,"Green, blue, built-up, road burden, optional official environmental layers",odense_osm_walking_accessibility_outputs_1/odense_multisource_environmental_index_outputs/odense_multisource_environmental_index_500m.gpkg,environmental_index_500m_hexagons,env_quality_score,env_quality_class,1539,1539,0,39.6477,38.6299,,39.227,15.0759,0.0,30.5043,46.8787,100.0
Environment,env_burden,Environmental burden index,0–100 index,Higher = higher environmental burden,"Low green/blue, built-up share, road burden, optional air/heat/noise/ecology layers",odense_osm_walking_accessibility_outputs_1/odense_multisource_environmental_index_outputs/odense_multisource_environmental_index_500m.gpkg,environmental_index_500m_hexagons,env_burden_score,env_burden_class,1539,1539,0,49.8716,51.0528,,46.7373,16.5622,0.0,39.9494,60.774,100.0
Environment,builtup_share,Built-up / impervious proxy share,%,Higher = more built-up/impervious proxy,OSM building and built-up land-use polygon share,odense_osm_walking_accessibility_outputs_1/odense_multisource_environmental_index_outputs/odense_multisource_environmental_index_500m.gpkg,environmental_index_500m_hexagons,builtup_pct,,1539,1539,0,26.5602,28.4831,,11.1805,31.6691,0.0,2.0294,43.3922,100.0
Environment,road_burden,Major-road exposure proxy,%,Higher = stronger major-road buffer exposure,Share of cell intersecting 100 m buffer around OSM major roads,odense_osm_walking_accessibility_outputs_1/odense_multisource_environmental_index_outputs/odense_multisource_environmental_index_500m.gpkg,environmental_index_500m_hexagons,road_buf_pct,,1539,1539,0,1.2885,1.2985,,0.0,6.1089,0.0,0.0,0.0,70.9926
Equity,population_density,Population density,persons/km²,Higher = denser population,Population aggregated to 500 m cells; density calculated by clipped cell area,odense_osm_walking_accessibility_outputs_1/odense_demographic_indicator_outputs/odense_demographic_indicators_500m.gpkg,demographic_indicators_500m_hexagons,pop_density_km2,pop_density_class,1539,1539,0,658.5918,701.2246,6878.42,41.7863,2040.2906,0.0,0.0,286.2309,26190.0896
Equity,age_vulnerability,Age vulnerability,share,Higher = higher age vulnerability,Children share + elderly share,odense_osm_walking_accessibility_outputs_1/odense_demographic_indicator_outputs/odense_demographic_indicators_500m.gpkg,demographic_indicators_500m_hexagons,age_vulnerability_share,age_vulnerability_class,1539,1539,0,0.1519,0.1587,0.3268,0.0689,0.2009,0.0,0.0,0.2193,1.0
Equity,demographic_vulnerability,Composite demographic vulnerability,0–100 index,Higher = higher demographic vulnerability,"Population density, age vulnerability, socio-economic vulnerability, optional origin indicators",odense_osm_walking_accessibility_outputs_1/odense_demographic_indicator_outputs/odense_demographic_indicators_500m.gpkg,demographic_indicators_500m_hexagons,demo_vulnerability_score,demo_vulnerability_class,1539,1539,0,10.023,10.509,36.5974,4.76,13.5242,0.0,0.0,14.8,100.0
