feature,PC1,PC2,PC3,PC4,PC5,PC6
walk_access_15m,0.3262656397320752,-0.1497337954850064,0.12674063313370115,-0.0011945504434693031,0.0284130091374945,-0.07088021289446987
bike_access_5m,0.33156435616345814,-0.14248740969112875,0.14358459980034216,0.07704686000773907,0.0644524274634506,-0.019284181627521598
bike_access_15m,0.3305873627800789,-0.12135112129414886,0.13156739741622273,0.11237774305881466,0.006329730948175267,0.03590372905590744
pt_stop_access_10m,0.28453106824399854,-0.1488877105320663,0.15679096421717031,-0.12166931345382917,-0.4940289712939556,-0.0506990270241753
pt_stop_access_20m,0.2929894176246152,-0.1534907170312544,0.16952706845279225,-0.11965652341570111,-0.46626580112950894,-0.00371526179266762
green_share_pct,-0.12998039672190634,-0.2935121297377568,0.6060297741459764,0.18513245049055552,0.1483205375025563,0.009588383394806797
env_quality,-0.26425087386068896,-0.3729020756772887,0.28687791529056234,0.1526192932019921,0.04253793591670825,0.005619322643204088
env_burden,0.3019755955573141,0.3325815445302263,-0.150300123904587,-0.009644661036613452,0.014359480846077037,0.006052362684115744
builtup_pct,0.32886763665610763,-0.053362405514922474,-0.0720823631734236,-0.06049117858186041,0.13350370174020978,0.003102703303225064
road_buf_pct,0.025485726120890072,0.5047118382798501,0.45005913225727223,-0.03062989011638989,0.04147575600011057,-0.007965383354607987
air_pollution_mean,0.1565417832909529,0.1150565266635952,-0.09921453676403935,0.8987248764267023,0.02403064155415534,0.08498209343327527
heat_mean,0.33943992664643535,0.014203342461642109,-0.06552563347980493,0.08309817047375606,0.07212060953264217,0.03652044567847084
noise_mean,0.022190313366620484,0.516517536342958,0.4421633764843091,-0.056795147628831096,0.02176106701761543,-0.016293666848011035
pop_density_km2,0.20343507658556276,-0.10358982293193343,0.013042346629120584,-0.1225182534153313,0.5317936619100698,-0.6708214273550798
age_vulnerability,0.19800987606640075,-0.11165003003058054,0.05441995595859806,-0.23918048825760238,0.4482355095834303,0.7291605133820954
