hex_id,hex_area_m2,pop_M1_val,pop_M1,pop_M2_val,pop_M2,pop_M3_val,pop_M3,pop_M3_folk,pop_M4,pop_M5,pop_M6,age_0_14_M6,age_65plus_M6,pop_total,age_0_14,age_65plus,pop_density_km2,pct_0_14,pct_65plus,pop_M3_komm21,source
0,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
1,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
2,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
3,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
4,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
5,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
6,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
7,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
8,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
9,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
10,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
11,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
12,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
13,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
14,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
15,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
16,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
17,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
18,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
19,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
